"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"101","ADE12","ProSer_vs_Ctrl",-0.235494548960806,0.0381417047873866,-6.17420092451357,15,1.77963240972634e-05,0.000204831349792649,NA,0.0940860215053764,0.0940860215053763
"102","ADE12","ArgSer_vs_Ctrl",0.0681074477495116,0.0381417047873866,1.78564246483378,15,0.0943857650810305,0.315585189949753,NA,0.0860215053763441,0.0860215053763441
"103","ADE13","ProAla_vs_Ctrl",-0.0310546155178031,0.0345763446781235,-0.898146284892033,15,0.383297987830266,0.699542574717794,NA,0.094017094017094,0.094017094017094
"104","ADE13","ProSer_vs_Ctrl",0.0198298871771006,0.0345763446781235,0.573510223874156,15,0.574797886275308,0.702894849788333,NA,0.0897435897435898,0.0897435897435897
"105","ADE13","ArgSer_vs_Ctrl",-0.038131882544936,0.0345763446781235,-1.10283151385467,15,0.287480277721084,0.569318758479928,NA,0.0705128205128205,0.0705128205128205
"106","ADE16","ProAla_vs_Ctrl",0.0219106818579651,0.033331186121655,0.657362800651429,15,0.520907795289141,0.802861786021577,NA,0.0982905982905983,0.0982905982905983
"107","ADE16","ProSer_vs_Ctrl",0.0672621019298513,0.033331186121655,2.01799304964283,15,0.0618463666969085,0.137252395517214,NA,0.094017094017094,0.094017094017094
"108","ADE16","ArgSer_vs_Ctrl",-0.0117052665325114,0.033331186121655,-0.351180617749051,15,0.730336740630815,0.88145620265741,NA,0.0726495726495726,0.0726495726495727
"109","ADE17","ProAla_vs_Ctrl",0.0800268036390103,0.0310741463456857,2.57535002727826,15,0.0211088195642861,0.167014528834751,NA,0.055,0.055
"110","ADE17","ProSer_vs_Ctrl",0.360659423911609,0.0310741463456857,11.6064145382929,15,6.80942480180136e-09,3.69352593559777e-07,NA,0.0466666666666666,0.0466666666666667
"111","ADE17","ArgSer_vs_Ctrl",0.139756447620187,0.0310741463456857,4.49751526769102,15,0.000425399351940525,0.0091703668516494,NA,0.0333333333333333,0.0333333333333333
